pdp_id,type,description,skills,chief_comment,employee_comment,status,starting_date,deadline,id
1,3,Pass best than.,Country add yes.,Situation oil fast.,Manage white.,1,2024-01-01,2024-01-08,1
1,3,Husband wrong raise.,Wall since hit unit.,Product wonder.,Investment send.,4,2024-01-01,2024-01-08,2
1,2,Less agree build.,Shake full site.,Draw again point.,Challenge public.,1,2024-01-01,2024-01-08,3
1,2,Go meeting start.,Half else card beat.,Bad wait forget.,Few although simply.,5,2024-01-01,2024-01-08,4
1,1,Employee respond.,Without feel.,Hospital ahead.,Home among last.,1,2024-01-04,2024-01-08,5
2,3,Use benefit himself.,Of long court.,Cut model produce.,Of campaign eight.,1,2024-01-04,2024-01-08,6
2,3,Early money person.,Expect within free.,Soon tell find.,Reflect somebody.,4,2024-01-04,2024-01-08,7
2,1,New charge cut.,Listen method save.,Type type pick.,President friend.,2,2024-01-04,2024-01-08,8
2,3,Through question.,Ok home family just.,Paper national.,Expert within model.,1,2024-01-04,2024-01-20,9
2,1,Either after nor.,Shake room age star.,Not question.,Land choice.,5,2024-01-04,2024-01-20,10
3,2,Fight feel.,Class group sport.,Move ready our.,Sell space glass.,6,2024-01-04,2024-01-20,11
3,1,Feel possible long.,Run gun reason rule.,Center decide kind.,Lead bill size she.,1,2024-01-04,2024-01-20,12
3,2,Job movie local.,Effect true wife.,Church point after.,Modern use factor.,4,2024-01-08,2024-01-20,13
3,1,Point any heavy son.,Trial tough instead.,Certain seem assume.,Tax customer main.,4,2024-01-08,2024-01-20,14
3,3,Raise seem Mr.,Eight thing become.,Wonder quite fund.,Might brother.,3,2024-01-08,2024-01-20,15
4,2,Eat newspaper floor.,Collection lawyer.,Design rest spring.,Rather hand reduce.,5,2024-01-08,2024-01-20,16
4,2,Rather water week.,Line activity.,Significant rather.,Check laugh.,6,2024-01-08,2024-01-20,17
4,3,International unit.,History task baby.,History letter upon.,High leg impact.,3,2024-01-08,2024-01-20,18
4,2,Country maybe wind.,Thank wind anything.,Picture oil.,These past.,2,2024-01-08,2024-01-20,19
4,3,Will why close home.,Value can life.,Bad even sound.,Create rather than.,2,2024-01-08,2024-01-29,20
5,2,Foot organization.,Finish agent since.,Purpose still.,Daughter alone.,6,2024-01-08,2024-01-29,21
5,2,Vote allow player.,Exist future.,Rich reveal office.,Really agent remain.,1,2024-01-08,2024-01-29,22
5,3,Center former his.,Quickly law behind.,Material defense.,Cup particular rich.,2,2024-01-08,2024-01-29,23
5,3,Both weight gas.,Bit term hospital.,Lawyer agreement.,Turn just push art.,6,2024-01-08,2024-01-29,24
5,2,Address.,After investment.,Generation time.,Determine approach.,1,2024-01-08,2024-01-29,25
6,2,Call important stay.,Can main government.,Light learn can.,Surface cut its.,1,2024-01-08,2024-01-29,26
6,3,Matter we serious.,Future three.,Chair among.,Probably usually.,1,2024-01-08,2024-01-29,27
6,3,Form buy practice.,Force everything.,Child wear writer.,Trip process carry.,4,2024-01-15,2024-01-29,28
6,1,Test design.,Detail and.,Attorney political.,Start woman know.,1,2024-01-15,2024-01-29,29
6,3,Risk model network.,Point throughout me.,Against enjoy.,Miss consider.,6,2024-01-15,2024-01-29,30
7,3,Threat toward image.,Person employee.,Unit a today hour.,Thousand arm.,2,2024-01-15,2024-01-29,31
7,1,Stop letter page.,Employee behavior.,Middle box eye.,Step already woman.,5,2024-01-15,2024-01-29,32
7,1,Call take affect.,Doctor large trip.,Door Republican.,Exist into yes.,1,2024-01-15,2024-01-31,33
7,3,Go hold pass nice.,No season second.,Character when.,Down within officer.,5,2024-01-15,2024-01-31,34
7,3,Establish inside.,Always dinner.,Visit heavy message.,Often rather wrong.,4,2024-01-15,2024-01-31,35
8,1,Or husband big.,Rate bed something.,Score together I.,Wish field skin.,2,2024-01-15,2024-01-31,36
8,1,Space put assume.,Floor we economic.,Expect white source.,Law maybe would.,1,2024-01-15,2024-01-31,37
8,2,Discuss low same.,Ball leader.,Everything three.,Cup of director.,4,2024-01-15,2024-01-31,38
8,1,Court save well kid.,Popular address.,Action good choice.,Look fire anyone.,3,2024-01-15,2024-01-31,39
8,3,Policy support.,Nothing stock his.,Performance must.,Nothing focus.,6,2024-01-15,2024-01-31,40
9,3,Social company cup.,Particularly animal.,Range fine reach.,Purpose best.,2,2024-01-15,2024-01-31,41
9,3,Mother learn bag.,Conference rest buy.,Walk dream rock.,Keep kind have.,5,2024-01-15,2024-01-31,42
9,3,Policy up fill.,Leg cup ago adult.,Office bar central.,Toward seat born.,2,2024-01-15,2024-01-31,43
9,2,Apply now.,To enough.,Industry theory.,Project reduce fall.,6,2024-01-15,2024-01-31,44
9,2,Whatever at sign.,Prevent create go.,At analysis side.,Space than himself.,6,2024-01-15,2024-01-31,45
10,3,A star hot far key.,Important analysis.,Remain court peace.,Including entire.,2,2024-01-29,2024-01-31,46
10,3,Leg particular drug.,Ball college fear.,Think yes sport a.,Might Republican.,5,2024-01-29,2024-01-31,47
10,2,Agree series.,Fly whatever trade.,Ten none become.,Range serve prevent.,5,2024-01-29,2024-01-31,48
10,1,Throughout sound.,Treatment this.,Future identify.,Tough section store.,5,2024-01-29,2024-01-31,49
10,3,Foreign trip.,Appear ahead score.,Certainly manager.,Site threat.,4,2024-01-29,2024-01-31,50
11,3,Walk scene.,Control eat will.,Although wife.,Television side.,2,2024-01-29,2024-01-31,51
11,1,Allow market.,Kid number later.,Science work foot.,Use keep see foot.,6,2024-01-29,2024-01-31,52
11,1,Why notice state.,Window attorney.,Ability nearly.,Shoulder stuff game.,2,2024-01-29,2024-01-31,53
11,1,Chair happy partner.,Future their.,Art fast build.,Table account back.,6,2024-01-29,2024-01-31,54
11,3,Hotel add future.,Young all thought.,His financial edge.,Wind particular.,2,2024-01-29,2024-01-31,55
12,2,Enough hard.,Thank off arm enter.,Expert put minute.,Speak southern body.,1,2024-01-29,2024-01-31,56
12,1,Benefit although.,Carry sit so church.,Image dog whom its.,Firm challenge key.,2,2024-01-29,2024-01-31,57
12,3,Where ready they.,Number federal seat.,Yeah responsibility.,Will both case fish.,2,2024-01-29,2024-01-31,58
12,1,Else keep memory.,Card raise lot.,Far fine black term.,Group you approach.,2,2024-01-29,2024-01-31,59
12,2,Conference another.,Long one water lead.,They door physical.,Tell blood study no.,1,2024-01-29,2024-01-31,60
13,1,Entire tough spring.,Front game end.,Sure article begin.,Thousand able sign.,3,2024-01-29,2024-01-31,61
13,3,Just yes star.,Camera history.,Benefit alone west.,Morning claim.,5,2024-01-29,2024-01-31,62
13,2,Though accept.,Red around much.,Everybody research.,Doctor level take.,3,2024-01-29,2024-01-31,63
13,1,Task result decide.,Activity road to.,Give maybe seat.,Provide value plan.,6,2024-01-29,2024-01-31,64
13,1,Difficult.,Top vote everybody.,Another relate.,To call blood.,2,2024-01-29,2024-01-31,65
14,1,Itself project cup.,Only people baby.,Page win similar.,City day try local.,6,2024-01-29,2024-01-31,66
14,1,Kind her put year.,Example any pay.,Want new song new.,Commercial agency.,6,2024-01-29,2024-01-31,67
14,1,Rest actually.,His itself discuss.,Social piece ask.,Six store measure.,6,2024-01-29,2024-01-31,68
14,3,Camera explain.,Worry traditional.,Science unit why.,Season company.,3,2024-01-29,2024-01-31,69
14,3,Economic million.,Eat do town weight.,Discussion minute.,Guy growth just.,1,2024-01-29,2024-01-31,70
